run_id,track,env_id,algorithm,setting_name,seed,total_timesteps,eval_freq,n_eval_episodes_train,n_eval_episodes_final,policy,use_vecnormalize,normalize_obs,normalize_reward,hyperparams_json,status,start_time,end_time,wall_clock_seconds,device,python_version,gymnasium_version,mujoco_version,stable_baselines3_version,sb3_contrib_version,torch_version,cuda_available,gpu_name,git_commit,model_path,tensorboard_path,train_eval_csv_path,final_eval_csv_path,notes
Walker2d-v5__PPO__legacy_1m__sb3default__seed3__steps1000000,legacy_1m,Walker2d-v5,PPO,sb3default,3,1000000,25000.0,10.0,10.0,MlpPolicy,True,True,True,{},complete,,,1195.78,cuda,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Walker2d-v5\Walker2d-v5__PPO__seed03__steps1000000.zip,,,,Pre-existing legacy_1m run cataloged by NB08
Walker2d-v5__PPO__diagnostic_250k__sb3default__seed2__steps250000,diagnostic_250k,Walker2d-v5,PPO,sb3default,2,250000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Walker2d-v5\Walker2d-v5__PPO__seed02__steps250000.zip,,,,Pre-existing diagnostic_250k run cataloged by NB08
Walker2d-v5__PPO__legacy_1m__sb3default__seed2__steps1000000,legacy_1m,Walker2d-v5,PPO,sb3default,2,1000000,25000.0,10.0,10.0,MlpPolicy,True,True,True,{},complete,,,1229.5,cuda,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Walker2d-v5\Walker2d-v5__PPO__seed02__steps1000000.zip,,,,Pre-existing legacy_1m run cataloged by NB08
Walker2d-v5__PPO__diagnostic_250k__sb3default__seed1__steps250000,diagnostic_250k,Walker2d-v5,PPO,sb3default,1,250000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Walker2d-v5\Walker2d-v5__PPO__seed01__steps250000.zip,,,,Pre-existing diagnostic_250k run cataloged by NB08
Walker2d-v5__PPO__legacy_1m__sb3default__seed1__steps1000000,legacy_1m,Walker2d-v5,PPO,sb3default,1,1000000,25000.0,10.0,10.0,MlpPolicy,True,True,True,{},complete,,,1229.55,cuda,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Walker2d-v5\Walker2d-v5__PPO__seed01__steps1000000.zip,,,,Pre-existing legacy_1m run cataloged by NB08
Walker2d-v5__PPO__diagnostic_500k__sb3default__seed0__steps500000,diagnostic_500k,Walker2d-v5,PPO,sb3default,0,500000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Walker2d-v5\Walker2d-v5__PPO__seed00__steps500000.zip,,,,Pre-existing diagnostic_500k run cataloged by NB08
Walker2d-v5__PPO__diagnostic_250k__sb3default__seed0__steps250000,diagnostic_250k,Walker2d-v5,PPO,sb3default,0,250000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Walker2d-v5\Walker2d-v5__PPO__seed00__steps250000.zip,,,,Pre-existing diagnostic_250k run cataloged by NB08
Walker2d-v5__PPO__legacy_1m__sb3default__seed0__steps1000000,legacy_1m,Walker2d-v5,PPO,sb3default,0,1000000,25000.0,10.0,10.0,MlpPolicy,True,True,True,{},complete,,,1354.47,cuda,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Walker2d-v5\Walker2d-v5__PPO__seed00__steps1000000.zip,,,,Pre-existing legacy_1m run cataloged by NB08
Walker2d-v5__DDPG__diagnostic_250k__sb3default__seed4__steps250000,diagnostic_250k,Walker2d-v5,DDPG,sb3default,4,250000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Walker2d-v5\Walker2d-v5__DDPG__seed04__steps250000.zip,,,,Pre-existing diagnostic_250k run cataloged by NB08
Walker2d-v5__DDPG__diagnostic_250k__sb3default__seed3__steps250000,diagnostic_250k,Walker2d-v5,DDPG,sb3default,3,250000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Walker2d-v5\Walker2d-v5__DDPG__seed03__steps250000.zip,,,,Pre-existing diagnostic_250k run cataloged by NB08
Walker2d-v5__DDPG__diagnostic_250k__sb3default__seed2__steps250000,diagnostic_250k,Walker2d-v5,DDPG,sb3default,2,250000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Walker2d-v5\Walker2d-v5__DDPG__seed02__steps250000.zip,,,,Pre-existing diagnostic_250k run cataloged by NB08
HalfCheetah-v5__TD3__legacy_1m__sb3default__seed0__steps1000000,legacy_1m,HalfCheetah-v5,TD3,sb3default,0,1000000,25000.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,400.2,cuda,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\HalfCheetah-v5\HalfCheetah-v5__TD3__seed00__steps1000000.zip,,,,Pre-existing legacy_1m run cataloged by NB08
Walker2d-v5__SAC__legacy_1m__sb3default__seed6__steps1000000,legacy_1m,Walker2d-v5,SAC,sb3default,6,1000000,25000.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cuda,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Walker2d-v5\Walker2d-v5__SAC__seed06__steps1000000.zip,,,,Pre-existing legacy_1m run cataloged by NB08
Walker2d-v5__SAC__legacy_1m__sb3default__seed5__steps1000000,legacy_1m,Walker2d-v5,SAC,sb3default,5,1000000,25000.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cuda,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Walker2d-v5\Walker2d-v5__SAC__seed05__steps1000000.zip,,,,Pre-existing legacy_1m run cataloged by NB08
Walker2d-v5__SAC__diagnostic_250k__sb3default__seed4__steps250000,diagnostic_250k,Walker2d-v5,SAC,sb3default,4,250000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Walker2d-v5\Walker2d-v5__SAC__seed04__steps250000.zip,,,,Pre-existing diagnostic_250k run cataloged by NB08
Walker2d-v5__SAC__legacy_1m__sb3default__seed4__steps1000000,legacy_1m,Walker2d-v5,SAC,sb3default,4,1000000,25000.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cuda,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Walker2d-v5\Walker2d-v5__SAC__seed04__steps1000000.zip,,,,Pre-existing legacy_1m run cataloged by NB08
Walker2d-v5__SAC__diagnostic_250k__sb3default__seed3__steps250000,diagnostic_250k,Walker2d-v5,SAC,sb3default,3,250000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Walker2d-v5\Walker2d-v5__SAC__seed03__steps250000.zip,,,,Pre-existing diagnostic_250k run cataloged by NB08
Walker2d-v5__SAC__legacy_1m__sb3default__seed3__steps1000000,legacy_1m,Walker2d-v5,SAC,sb3default,3,1000000,25000.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cuda,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Walker2d-v5\Walker2d-v5__SAC__seed03__steps1000000.zip,,,,Pre-existing legacy_1m run cataloged by NB08
Walker2d-v5__SAC__diagnostic_250k__sb3default__seed2__steps250000,diagnostic_250k,Walker2d-v5,SAC,sb3default,2,250000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Walker2d-v5\Walker2d-v5__SAC__seed02__steps250000.zip,,,,Pre-existing diagnostic_250k run cataloged by NB08
